Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:57:06
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Simples\T3\fem1simplesT3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  67                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 48 45 47
  68                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 48 41 45
  69                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 40 191 192
  70                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 40 48 191
  71                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 190 47 189
  72                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 48 190 191
  73                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 48 47 190
  74                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 14 188 49
  75                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 14 187 188
  76                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 49 189 47
  77                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 49 188 189
  78                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 15 49 44
  79                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 15 14 49
  80                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 44 47 45
  81                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 44 49 47
  82                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 192 50 40
  83                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 192 193 50
  84                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 40 51 41
  85                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 40 50 51
  86                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 41 52 42
  87                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 41 51 52
  88                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 42 53 43
  89                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 42 52 53
  90                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 18 54 19
  91                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 54 43 53
  92                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 54 18 43
  93                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 57 51 56
  94                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 57 52 51
  95                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 193 55 50
  96                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 193 194 55
  97                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 50 56 51
  98                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 50 55 56
  99                   | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 52 58 53
  100                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 52 57 58
  101                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 53 59 54
  102                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 53 58 59
  103                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 19 60 20
  104                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 60 54 59
  105                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 60 19 54
  106                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 61 164 165
  107                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 164 66 163
  108                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 66 61 62
  109                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 66 164 61
  110                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 62 64 66
  111                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 62 63 64
  112                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 163 65 162
  113                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 65 66 64
  114                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 65 163 66
  115                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 67 58 57
  116                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 64 67 65
  117                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 67 68 58
  118                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 67 64 68
  119                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 63 68 64
  120                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 68 59 58
  121                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 68 76 59
  122                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 162 69 161
  123                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 69 65 67
  124                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 69 162 65
  125                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 67 70 69
  126                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 70 57 56
  127                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 70 67 57
  128                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 161 70 160
  129                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 161 69 70
  130                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 194 159 55
  131                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 194 207 159
  132                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 55 159 71
  133                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 160 71 159
  134                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 71 56 55
  135                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 70 71 160
  136                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 70 56 71
  137                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 72 62 61
  138                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 62 74 63
  139                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 74 72 73
  140                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 74 62 72
  141                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 75 74
  142                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 75 21 20
  143                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 75 73 21
  144                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 60 75 20
  145                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 59 76 60
  146                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 68 63 76
  147                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 76 75 60
  148                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 74 76 63
  149                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 74 75 76
  150                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 72 78 73
  151                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 79 72 61
  152                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 78 79 77
  153                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 78 72 79
  154                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 166 167
  155                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 79 166
  156                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 165 79 61
  157                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 165 166 79
  158                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 169 80 168
  159                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 80 169
  160                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 25 81 26
  161                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 25 80 81
  162                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 170 81 169
  163                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 171 170 208
  164                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 171 26
  165                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 81 170 171
  166                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 82 168 80
  167                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 167 82 77
  168                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 167 168 82
  169                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 83 24 23
  170                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 24 80 25
  171                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 80 83 82
  172                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 80 24 83
  173                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 84 78
  174                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 84 82 83
  175                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 84 77 82
  176                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 23 22
  177                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 83 85 84
  178                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 83 23 85
  179                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 78 84
  180                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 85 73 78
  181                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 22 21
  182                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 73 85 22
  183                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 98 184 101
  184                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 98 183 184
  185                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 101 185 13
  186                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 101 184 185
  187                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 12 100 102
  188                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 12 11 100
  189                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 102 96 97
  190                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 102 100 96
  191                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 13 102 101
  192                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 13 12 102
  193                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 101 97 98
  194                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 101 102 97
  195                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 8 99 104
  196                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 8 7 99
  197                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 104 92 93
  198                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 104 99 92
  199                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 9 104 103
  200                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 9 8 104
  201                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 103 93 94
  202                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 103 104 93
  203                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 95 100 105
  204                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 95 96 100
  205                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 105 11 10
  206                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 105 100 11
  207                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 94 105 103
  208                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 94 95 105
  209                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 103 10 9
  210                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 103 105 10
  211                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 1 174 107
  212                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 1 173 174
  213                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 107 175 86
  214                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 107 174 175
  215                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 87 106 108
  216                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 87 88 106
  217                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 108 3 2
  218                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 108 106 3
  219                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 108 107
  220                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 86 87 108
  221                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 107 2 1
  222                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 107 108 2
  223                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 91 99 110
  224                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 91 92 99
  225                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 110 7 6
  226                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 110 99 7
  227                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 110 109
  228                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 90 91 110
  229                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 109 6 5
  230                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 109 110 6
