Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 12:17:48
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Simples\T6\fem1simplesT6.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  134                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 59 294 52 260 231 259
  135                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 354 59 330 261 257 334
  136                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 354 294 59 308 260 261
  137                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 62 48 47 262 221 263
  138                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 49 62 53 264 265 236
  139                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 49 48 62 223 262 264
  140                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 53 61 54 266 267 240
  141                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 53 62 61 265 268 266
  142                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 60 47 46 269 217 270
  143                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 62 60 61 271 272 268
  144                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 62 47 60 263 269 271
  145                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 63 54 61 273 267 274
  146                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 327 63 326 275 276 335
  147                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 327 54 63 247 273 275
  148                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 326 64 325 277 278 336
  149                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 63 64 326 279 277 276
  150                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 64 61 60 280 272 281
  151                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 64 63 61 279 274 280
  152                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 65 46 45 282 214 283
  153                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 60 65 64 284 285 281
  154                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 60 46 65 270 282 284
  155                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 325 66 324 286 287 337
  156                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 66 64 65 288 285 289
  157                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 66 325 64 286 278 288
  158                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 45 44 66 211 290 291
  159                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 65 45 66 283 291 289
  160                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 324 345 357 292 353 338
  161                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 44 324 66 293 287 290
  162                  | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 44 345 324 208 292 293
 
------------------------------------------------------------
 
