Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:31:12
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Entalhe Pontos\T6\fem1T6.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  1                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 471 5 470 98 99 475
  2                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 11 471 472 100 476 101
  3                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 5 11 4 102 103 104
  4                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 5 471 11 98 100 102
  5                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 4 10 3 105 106 107
  6                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 4 11 10 103 108 105
  7                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 9 472 473 109 477 110
  8                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 11 9 10 111 112 108
  9                    | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 11 472 9 101 109 111
  10                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 473 6 9 113 114 110
  11                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 473 474 6 478 115 113
  12                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 3 8 2 116 117 118
  13                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 3 10 8 106 119 116
  14                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 7 9 6 120 114 121
  15                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 10 7 8 122 123 119
  16                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 10 9 7 112 120 122
  17                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 1 491 509 124 492 125
  18                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 491 12 490 126 127 493
  19                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 12 1 2 128 129 130
  20                   | CPLSTS6        | 2d_mesh(1)     | Plane Stress XY(1) | 12 491 1 126 124 128
